CIUDAD;NOMBRE OFICINA;DIRECCIÓN;INDICATIVO;Tel 1;Tel 2;Tel 3;Tel 4;Tel 5;HORARIO LUNES A VIERNES  Y FIN DE MES;HORARIO ADICIONAL LUNES A VIERNES;SÁBADO;zipcode;lat;lon;Num_Eventos
BARRANQUILLA;EL VIVERO;CALLE 77 No. 66-30;5;3770130;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80001;11,0099443;-74,7998638;0
BARRANQUILLA;GRANCENTRO;CARRERA 53 No. 68 B-125 LOCAL 1-111;5;3770139;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;8:00 a.m a 12:00 m.;80002;10,9966662;-74,7996023;0
BARRANQUILLA;GRAN BOULEVARD;CALLE 106 No. 50-67 LOCAL 1;5;3770131;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;10,998554;-74,817749;0
BARRANQUILLA;GREEN TOWERS;Calle 77B No. 57-103 L 6-7 Centro Empresarial Green Towers;5;3770144;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80001;11,0058985;-74,8030962;0
BARRANQUILLA;METROPOLITANO;CARRERA . 28 NO 58-128 SOLEDAD ATL.;5;3770133;NA;NA;NA;NA;8:30 a.m a 12:00 m. - 2:00 p.m a  4:30 p.m;NA;8:30 a.m a 12:30 p.m;NA;10,92404;-74,797326;0
BARRANQUILLA;MURILLO;CARRERA 45 Nº 42-63;5;3770140;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;8:00 a.m a 12:00 m;80003;10,9857787;-74,7831929;2
BARRANQUILLA;PASEO BOLIVAR;CALLE 34 No. 43-75;5;3770134;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;8:00 a.m a 12:00 m.;80003;10,9818058;-74,7780145;0
BARRANQUILLA;SAN FRANCISCO;CARRERA 38 No. 71-54;5;3770135;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,9851911;-74,8102429;3
BARRANQUILLA;CENTRO COMERCIAL UNICO BARRANQUILLA;CALLE 74 No. 38 D - 113 Local 4B;5;3770128;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;11,0051329;-74,8099307;8
BELLO;BELLO;CALLE 50 No. 49-21;4;5402533;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,3346229;-75,5580625;5
BELLO;PUERTA DEL NORTE;DIAGONAL 55 No. 34 -67 Local 2 - 082;4;5400525;NA;NA;NA;NA;9:00 a.m a 4:30 p.m;NA;NA;51050;6,3404874;-75,5426032;0
BOGOTA;BARRIO RESTREPO;CALLE 15 SUR No. 20-23;1;3808130;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111511;4,5877247;-74,1008122;6
BOGOTA;BARRIO SANTANDER;AVENIDA 1ª DE MAYO No. 29d - 45 Av 1 de Mayo No. 29d-45;1;3808098;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,5704865;-74,0886079;0
BOGOTA;CARVAJAL;AVENIDA 1 DE MAYO No. 69C-04;1;3808102;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110831;4,6146762;-74,1358729;8
BOGOTA;PRIMERO DE MAYO;CARRERA 10 No. 20-08 SUR;1;5528794;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110311;4,6077422;-74,073126;0
BOGOTA;CENTRO MAYOR;"TRASNVERSAL 35 No 38 A- 20 SUR Local LM 05 - 06 2 Piso - Centro
Comercial Centro Mayor";1;3808104;NA;NA;NA;NA;"9:00 a.m a 4:00 p.m
L- V (Primeros 3 dias habiles y últimos 2 días hábiles del mes) 8:00 a.m a 4:00 p.m";NA;NA;NA;4,5921286;-74,1238635;1
BOGOTA;ALCAZARES;CARRERA 24 No. 77 - 48/52;1;3808172;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,6676383;-74,0640907;0
BOGOTA;ANTIGUO COUNTRY;CALLE 85 No. 18 - 24;1;3808157;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6709845;-74,0570643;0
BOGOTA;CAFAM FLORESTA;Avenida Calle 68 No 90-88 Local 2 - 062 - A.;1;3808160;NA;NA;NA;NA;9:00 a.m. a 4:00 p.m.;NA;NA;NA;4,6861552;-74,0743383;0
BOGOTA;EL POLO;CALLE 86A No. 27-24;1;5528798;NA;NA;NA;NA;Lunes a viernes:09:00  a.m a 4:00 p.m (Primeros 3 día hábiles del mes) 8:00 a.m a 4:00 p.m;NA;NA;111211;4,6753243;-74,063812;0
BOGOTA;EXT. DE CAJA ESCUELA JOSÉ MARÍA CORDOBA;CALLE 80 No. 38-22;1;5527764;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111211;4,6773102;-74,0728838;0
BOGOTA;SIETE DE AGOSTO;CARRERA 24 NO- 67-25;1;3808129;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6584843;-74,0701446;0
BOGOTA;BOSA;Calle 65 Sur No. 79C- 05;1;5528775;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110741;4,6063071;-74,1842516;3
BOGOTA;CONGRESO DE LA REPÚBLICA;CARRERA 7 No.- 8-68;1;3808153;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111711;4,5961439;-74,0763953;4
BOGOTA;PRINCIPAL;CARRERA 8 No. 12B-42 PISO 1;1;3808132;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,6008909;-74,0748779;0
BOGOTA;AVENIDA CHILE;CARRERA 9 No. 72-35;1;3438376;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6565556;-74,0568745;0
BOGOTA;CALLE 97;CALLE 97 No. 23-37 L 101-102;1;3808100;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,6845939;-74,0569992;9
BOGOTA;CALLE CIEN;CARRERA 15 No. 98-30;1;3808138;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6832569;-74,0484205;0
BOGOTA;CENTRO 93;CARRERA 15 No. 93-61;1;3808139;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6775353;-74,0517484;0
BOGOTA;CENTRO ANDINO;CARRERA 11 No. 82-51 LOCAL 109;1;5528797;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;10:00 a.m a 3:00 p.m;NA;4,6668663;-74,052685;3
BOGOTA;CENTRO COMERCIAL AVENIDA CHILE;CALLE 72 No. 10-34 LOCAL 137;1;5528785;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 2:00 p.m;NA;4,727112;-74,064605;0
BOGOTA;CHAPINERO;CARRERA 13 No. 63-39;1;3808106;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6498036;-74,063513;11
BOGOTA;CHICO RESERVADO;CARRERA 11 No. 94-64;1;3808143;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6776705;-74,0459086;0
BOGOTA;COUNTRY;CALLE 85 No. 13-66;1;3808111;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,669291;-74,05359;11
BOGOTA;EL NOGAL;CARRERA 15 No. 74-36;1;3808112;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6612777;-74,0599643;0
BOGOTA;EL RETIRO;CALLE 81 NO. 13-26/44 LOCAL 101;1;3808180;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,68745;-74,054192;9
BOGOTA;LOURDES;CARRERA 13 NO 60-87;1;5528786;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110231;4,6477766;-74,0640112;11
BOGOTA;MARLY;CARRERA 13 No. 53-57;1;3808117;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6407546;-74,0652831;0
BOGOTA;PLAZA 67;CALLE 67 No. 7-35;1;3808123;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110231;4,6508256;-74,0586994;11
BOGOTA;PREMIUM BOGOTÁ;CARRERA 11 No. 82-01 OFICINA 602;1;3808148;2576212;2576227;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6662181;-74,0530077;3
BOGOTA;QUINTA AVENIDA;CARRERA 7 No. 71-52 TORRE B LOCAL 103;1;3808140;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,654051;-74,055351;0
BOGOTA;WORLD TRADE;Carrera 9A No. 99-02 Oficina 108 - 1 Piso;1;3808152;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,680968;-74,042061;0
BOGOTA;BANCA PERSONAL WORLD TRADE;Carrera 9A No. 99-02 Oficina 108 - 2 Piso;1;3808181;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,680968;-74,042061;0
BOGOTA;AEROPUERTO CONNECTA 26;Avenida Calle 26 No. 92-32 Local No. 1-L06;1;5528772;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110911;4,6830995;-74,1208765;0
BOGOTA;ALAMOS;CARRERA 89 A No. 62-00 LOCAL 107;1;5528795;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6871057;-74,1143435;0
BOGOTA;CALLE 80;AVENIDA CALLE 81 NO 69-14;1;3808133;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110221;4,6665622;-74,0557828;3
BOGOTA;CENTRO COMERCIAL DIVERPLAZA;CALLE 71B NO. 100 – 11 LOCALES 107, 107A;1;3808175;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111041;4,7024806;-74,1174194;1
BOGOTA;LA ESTRADA;AVENIDA CALLE 72 No. 69M-16;1;3808144;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111061;4,6832066;-74,0909287;0
BOGOTA;LAS FERIAS;AVENIDA CALLE 72 No. 68F-33;1;3808145;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111061;4,679685;-74,0875664;0
BOGOTA;NORMANDIA;CALLE 53 No. 71C-30;1;3808156;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6455301;-74,0849215;0
BOGOTA;QUIRIGUA;TRANSVERSAL 94A No. 80D-77;1;3808125;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111021;4,7082081;-74,1054343;8
BOGOTA;TERMINAL DE TRANSPORTE;CALLE 33B No. 69-35 LOCAL 3- 231;1;3808159;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,6767703;-74,0483488;0
BOGOTA;UNICENTRO OCCIDENTE;CARRERA 111C No. 86-74 LOCAL 105;1;5528796;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111011;4,7242057;-74,1133547;0
BOGOTA;BANCA PERSONAL EL DORADO;Carrera 69 No. 25B-44 Local 103;1;3808164;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,688356;-74,046901;0
BOGOTA;CIUDAD SALITRE;CARRERA .69 No. 25B-44 LOCAL 103;1;3808107;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,688356;-74,046901;0
BOGOTA;CORABASTOS;CARRERA 86 No. 24A -19 SUR LOC-1;1;3808110;NA;NA;NA;NA;8:00 a.m a 3:00 p.m;NA;NA;NA;4,6627219;-74,133144;0
BOGOTA;FONTIBON;CALLE 17A No. 99-73;1;3808113;NA;NA;NA;NA;:Lunes a viernes:09:00  a.m a 4:00 p.m;NA;NA;110921;4,6731237;-74,1453014;4
BOGOTA;HAYUELOS;CALLE 20 No. 82-52 LOCAL 1-101 / 2;1;3808096;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,66359;-74,13089;0
BOGOTA;MODELIA;AVENIDA CALLE 24 No. 74A-59;1;3808146;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,665729;-74,1195218;0
BOGOTA;SALITRE PLAZA;CARRERA 68B No. 40-39 LOCAL 182;1;3808095;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,652457;-74,109328;0
BOGOTA;ZONA FRANCA CALLE 13;DIAGONAL 16 No.104-51 LOCAL 104;1;3808142;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,6912599;-74,0513807;0
BOGOTA;CIUDAD KENNEDY;CARRERA 78K No. 37A-80 SUR;1;2645967;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110851;4,6235139;-74,1540744;0
BOGOTA;KENNEDY CENTRAL;CARRERA 78B No. 26-24 SUR;1;3808116;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6243511;-74,1487657;1
BOGOTA;MINIBANCO TINTALITO;CARRERA 86 No. 15 A 91;1;2920691;NA;NA;NA;NA;8:00 a.m a 01:00 pm;NA;NA;NA;4,65804;-74,1377853;0
BOGOTA;PLAZA DE LAS AMERICAS;TRANSVERSAL 71D No 26-94 SUR LOCAL 1911;1;5528793;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 2:00 p.m;NA;4,6197204;-74,1352054;0
BOGOTA;LAS AGUAS;AVENIDAJIMENEZ No. 4-16;1;5528777;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6009965;-74,0704313;4
BOGOTA;AVENIDA JIMENEZ;AVENIDA JIMENEZ No. 8a-65;1;5528779;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110321;4,602287;-74,0753857;0
BOGOTA;MINIBANCO RAMA JUDICIAL;CARRERA 10 No. 14-33 PISO 1 - Bogotá;1;3808182;NA;NA;NA;NA;8:30 a.m a 3:30 p.m;NA;NA;Colombia;4,6030761;-74,0766066;0
BOGOTA;BOGOTA;CARRERA 7 No. 16-36 PISO 1;1;3808131;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110321;4,6025523;-74,0724592;4
BOGOTA;CENTRO COMERCIAL CALIMA BOGOTÁ;AVENIDA 19 No. 28-80 Locales B-79, 81, 82, 84, 86. PISO 2;1;3808174;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6184552;-74,0858837;0
BOGOTA;CARRERA ONCE;CARRERA 10 No. 9-97 L1263;1;5528771;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,5991745;-74,0787122;0
BOGOTA;CENTRO INTERNACIONAL;CARRERA 10 No. 27-91;1;3808134;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110421;4,5719903;-74,0978013;0
BOGOTA;COLSEGUROS;CALLE 17 NO 9-20 INT 101 - 201;1;3808108;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,60479;-74,074187;4
BOGOTA;LAS NIEVES;CARRERA 7 No. 19- 22;1;5528780;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110311;4,6054927;-74,0713561;4
BOGOTA;PALOQUEMAO;CALLE 17 No. 25-69;1;3808119;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111411;4,6136038;-74,0872018;0
BOGOTA;PARQUE BAVIERA;CARRERA 13 No. 32-65;1;3808121;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110311;4,6200908;-74,0687389;3
BOGOTA;PARQUE CENTRAL BAVARIA;CALLE 29 No. 13-45 LOCAL 170;1;3808092;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7567347;-74,0644877;0
BOGOTA;PARQUE NACIONAL;CARRERA 13 No. 38-99;1;3808154;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110311;4,627125;-74,0672676;0
BOGOTA;RICAURTE;CALLE 13 No. 27-05;1;5528781;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111411;4,612136;-74,0893156;2
BOGOTA;SAN JOSE;CARRERA 21 No. 9-31 LOCAL 2-100 CENTRO COMERCIAL SAN VICENTE;1;3808149;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,605579;-74,08909;0
BOGOTA;LA TRINIDAD;CARRERA 56 No. 4A-36;1;3808158;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111611;4,6211736;-74,1181004;0
BOGOTA;MINIBANCO FONDO ROTATORIO DEL EJERCITO;CARRERA 50 No. 18-92;1;3471600;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111611;4,631605;-74,1034282;0
BOGOTA;OCCIDENTE;CALLE 13 No. 47-17;1;3808155;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111611;4,6256317;-74,1048001;0
BOGOTA;PUENTE ARANDA;CALLE 13 No. 62- 56;1;3808135;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111611;4,634139;-74,113726;0
BOGOTA;SAN ANDRESITO;CALLE 9 No. 37 -40 PISO2;1;5528782;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,5776156;-74,0825896;0
BOGOTA;MONTEVIDEO;CARRERA 68 No. 13-34;1;3808147;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111611;4,6380912;-74,1170972;0
BOGOTA;SANTA LUCIA;CALLE 46 SUR No. 19-07 P-2;1;5528789;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;Colombia;4,5704417;-74,125107;0
BOGOTA;Agencia USME;CARRERA 1 No 65 D-58 Sur Locales L 1-74 1-75 y 1-76 Centro Comercial Altavista;1;3808141;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,532191;-74,118427;0
BOGOTA;VEINTE DE JULIO;CARRERA 9 No. 30D-38 SUR;1;5528791;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,568412;-74,0995296;0
BOGOTA;CENTRO SUBA;CALLE 140 No. 91-19 LOCAL 2-109;1;3808105;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,737951;-74,085106;2
BOGOTA;COLINA CAMPESTRE;CARRERA 58 No. 137B-04;1;5528770;NA;NA;NA;NA;"9:00 a.m a 4:00 p.m L- V (Primeros 3 dias habiles y últimos 2 días hábiles del mes) 8:00
a.m a 4:00 p.m";NA;NA;NA;4,7277176;-74,0646564;0
BOGOTA;NIZA;AVENIDA SUBA No. 127 - 35;1;3808118;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111121;4,7117483;-74,0723689;2
BOGOTA;CENTRO EMPRESARIAL CALLE 127;CALLE 127 No. 53ª-45;1;3808183;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7083014;-74,0620068;0
BOGOTA;PARALELO 108;AV. CRA. 45 No. 108 - 27 TORRE 3 LOCALES12 Y 13;1;3808120;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6963793;-74,0565516;0
BOGOTA;PLAZA IMPERIAL;AVENIDA CARRERA 140 No. 148-07 LOCL 147;1;3808094;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7451071;-74,1150663;0
BOGOTA;PUENTE LARGO;TRANSVERSAL 60 No. 108-46;1;3808090;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6952696;-74,0679184;8
BOGOTA;AGENCIA TELEFÓNICA;TRANSVERSAL 60 No. 114A - 55;1;3808185;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111121;4,6968685;-74,0700414;8
BOGOTA;AVENIDA EL DORADO;CALLE 26 No. 59-41 EDIFICIO CAMARA COLOMBIANA DE INFRAESTRUCTURA LOCALES 2,3;1;3808097;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6461943;-74,0996413;1
BOGOTA;CAN;CALLE 44 No. 57A-68;1;3808101;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6479678;-74,0937505;0
BOGOTA;CORFERIAS;AVENIDA CARRERA 40 No. 24A - 81;1;5528783;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,630808;-74,092653;0
BOGOTA;GALERIAS;CARRERA 21 No. 53-14;1;3808114;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6415815;-74,0719517;2
BOGOTA;GRAN AMÉRICA;CARRERA 33 No. 25D - 44 TORRE 6 LOCALES 105 Y 106;1;3808173;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6297488;-74,0835963;2
BOGOTA;INDUMIL;CALLE 44 Nº 50-92;1;5528778;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6437399;-74,0912001;0
BOGOTA;MINIBANCO FISCALÍA;DIAGONAL 22B No. 52-01;1;3471600;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,6389964;-74,0996821;0
BOGOTA;MINIBANCO MINISTERIO DE DEFENSA;CARRERA 54 No.26-25;1;5527769;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;111321;4,6442719;-74,0953416;0
BOGOTA;MINIBANCO FRIGORIFICO GUADALUPE;AUTOPISTA SUR No. 66-78 LOCAL D17;1;2385923;NA;NA;NA;NA;7:00 a.m a 2:00 p.m.;NA;7:00 a.m a 12:00 m.;NA;4,5951944;-74,151122;1
BOGOTA;TUNAL;CALLE 47B SUR No. 24A-15 CC.TUNAL;1;5528790;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;9:00 a.m. a 2:00 p.m;NA;4,5775347;-74,1302695;0
BOGOTA;VENECIA;DIAGONAL 46A SUR No. 51-24 SUR;1;5528788;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110611;4,5934173;-74,1384096;5
BOGOTA;MINIBANCO COLMOTORES;Calle 56a sur No. 33-53;1;5527765;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,5845515;-74,1437162;0
BOGOTA;AGENCIA NORTH POINT;CARRERA 7 No. 156 - 80 LOC-101;1;3808178;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7327913;-74,0235126;7
BOGOTA;BANCA COMERCIAL SAN PATRICIO;AVENIDA CARRERA 19 NO. 104 - 52;1;3808177;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,6909494;-74,0509273;0
BOGOTA;BANCA PERSONAL SAN PATRICIO;AVENIDA CARRERA 19 NO. 104 - 52;1;3808176;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,6909494;-74,0509273;0
BOGOTA;BELMIRA;CALLE 140 No. 7C- 94;1;3808099;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110121;4,7175695;-74,0321485;0
BOGOTA;CEDRITOS;AVENIDA 19 No. 152-03;1;3808103;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110131;4,7337005;-74,0443804;0
BOGOTA;CONTADOR;AVENIDA 19 No. 138-30;1;3808109;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110121;4,7222933;-74,0463743;0
BOGOTA;MINIBANCO CANTON NORTE;Calle 106 No. 7-25;1;5527760;NA;NA;NA;NA;8:30 a.m a 3:30 p.m;NA;NA;110111;4,6853833;-74,0360764;0
BOGOTA;HACIENDA SANTA BARBARA;CALLE 114 No. 6A-92 LOCAL 242D;1;3808093;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,69211;-74,03219;0
BOGOTA;TELEPORT;Calle 114 No. 9-01 Local 124.;1;3808137;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7022085;-74,0419897;0
BOGOTA;LA CASTELLANA;AVENIDA CALLE 100 Nº 54-21 LOCAL 113;1;5528799;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,691801;-74,035341;0
BOGOTA;PEPE SIERRA;AVENIDA 19 No. 118-30;1;3808122;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,699852;-74,0493868;0
BOGOTA;SANTA PAULA;CARRERA 15 No. 108A- 33;1;3808127;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,6922314;-74,0451773;0
BOGOTA;SANTAFÉ;CALLE 185 No. 45-03 LOC- 1-121;1;3808128;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 2:00 p.m;NA;4,762252;-74,0463165;0
BOGOTA;TELEPORT;Calle 114 No. 9-01 Local 124.;1;3808137;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7022085;-74,0419897;0
BOGOTA;TOBERIN;CALLE 166 No. 21-68;1;3808091;NA;NA;NA;NA;"9:00 a.m a 4:00 p.m
L- V (Primeros 3 dias habiles y últimos 2 días hábiles del mes) 8:00 a.m a 4:00 p.m";NA;NA;110131;4,7468238;-74,0450833;0
BOGOTA;UNICENTRO;"AVENIDA 15 No. 123-30 LOCAL 2-168
CALLE 123 CARRERA 15 LOCAL 1-136";1;3808150;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;"5:30 p.m a 7:30 p.m
Fin de mes 5:30 p.m. a 7:00 p.m.";10:00 a.m a 4:00 p.m;NA;4,7022085;-74,0419897;0
BOGOTA;AGENCIA BANCA PERSONAL UNICENTRO;CALLE 123 CARRERA 15 LOCAL 1-136;1;3808187;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;110111;4,699548;-74,0332701;15
BUCARAMANGA;AGENCIA CENTRO COMERCIAL CACIQUE;TRANSVERSAL 93 NO. 34-99 LOCAL 406 CENTRO COMERCIAL CACIQUE;7;6855027;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,0996603;-73,1073641;2
BUCARAMANGA;AVENIDA EL LIBERTADOR;CARRERA 15 No. 23-41;7;6855010;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,1247813;-73,1289033;0
BUCARAMANGA;BOLARQUÍ;Carrera 29 Numero 54 -78 Local 1;7;6855028;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680003;7,1112229;-73,1137583;2
BUCARAMANGA;BUCARAMANGA;CALLE 35 No. 18-02;7;6855011;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,119413;-73,1242627;1
BUCARAMANGA;CABECERA DEL LLANO;CALLE 52 No. 33-42;7;6855019;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680003;7,1131904;-73,1100661;2
