NOMBRE DEL ATM;lat;lon
Colon Plaza 2;3,4587192;-76,5254536
Colon Plaza III;3,4587192;-76,5254536
Colsanitas Sede Administrativa;4,6834253;-74,0458833
Colseguros 1;4,6048468;-74,0740887
Colseguros 2;4,6048468;-74,0740887
Colseguros 3;4,6048468;-74,0740887
Colsubsidio (Funza);4,7165348;-74,2121278
Coltabaco;6,2106035;-75,5792668
Coltejer;6,2497392;-75,5659942
Coltejer II;6,2497392;-75,5659942
Coltejer III;6,2497392;-75,5659942
Comestibles DAN;6,1647342;-75,6078169
Contador;4,7230518;-74,0463993
Continental-Oficina Las Aguas.;4,6009341;-74,0705201
Contraloria Edificio Elemento;4,6594891;-74,1065153
Corabastos;4,6390824;-74,1581364
Corferias II;4,6316788;-74,0934698
Corozal I;9,3154852;-75,2935648
Corozal II;9,3154852;-75,2935648
Cosmocentro I;3,4150965;-76,5478027
Cosmocentro II;3,4150965;-76,5478027
Cosmocentro III;3,4150965;-76,5478027
Country;4,673943;-74,062873
Crespo;10,4016151;-75,5558816
Cs Sincelejo II;9,3045773;-75,3905567
Cs.Sincelejo 1;9,3045773;-75,3905567
Ctro.Cmercial.Caracas;4,5579699;-74,1220101
Cuarta Brigada Cacique Yarigues;6,2616328;-75,5921676
Cúcuta 1;7,8860281;-72,5028457
Cúcuta 2;7,9346039;-72,5062205
Cúcuta 3;7,8890971;-72,4966896
Cueros Vélez;6,2280082;-75,5790673
Curumani 1;9,2006539;-73,5435055
Curumani 2;9,2006539;-73,5435055
Curumani III;9,2006539;-73,5435055
Dari Chapinero;3,444468;-76,5028755
Depositario  Toberin II;4,7468238;-74,0450833
Depositario Antiguo Country;4,6709845;-74,0570643
Depositario Avda 30 Agosto;4,8125617;-75,7093218
Depositario Avda Roosvelt;3,4329112;-76,5388907
Depositario Avenida Chile;4,6565556;-74,0568745
Depositario Barrio Restrepo;4,5886509;-74,1016797
Depositario Cabellano 3;7,1131904;-73,1100661
Depositario Cali;3,4525911;-76,530443
Depositario Calima;4,6181975;-74,086042
Depositario Calle 100;4,6832569;-74,0484205
Depositario Calle Grande;10,4742872;-73,2484819
Depositario Cañaveral 2;7,1378719;-73,1227677
Depositario Cartagena;10,4224888;-75,5503278
Depositario Centro 93;4,6775469;-74,0517709
Depositario Centro Comercial Santafé;4,7626019;-74,0462687
Depositario Centro Comercial Cacique;7,0992015;-73,1071331
Depositario Centro Financiero;6,2060131;-75,5710632
Depositario Centro Internacional;4,6154273;-74,0716737
Depositario Centro Mayor;4,5903013;-74,1239089
Depositario Chapinero;4,6497872;-74,0635156
Depositario Dann;7,1178859;-73,1125597
Depositario Envigado;6,1706617;-75,5867522
Depositario Facatativá;4,809984;-74,354009
Depositario Florencia 1;1,6145788;-75,6131157
Depositario Florida Cap;6,2707425;-75,5777924
Depositario Fontibón;4,6731237;-74,1453014
Depositario Girardot;4,2926896;-74,8014838
Depositario Hall La Cuesta;6,9937172;-73,0474349
Depositario Itagüí;6,1724856;-75,6099313
Depositario Jardín Plaza;3,3696037;-76,5274488
Depositario La Castellana;4,68824;-74,0990089
Depositario La Dorada;5,45288;-74,662391
Depositario La Matuna;10,4249446;-75,5468742
Depositario Lago Uribe;4,8147852;-75,6987626
Depositario Maicao;11,378922;-72,2365585
Depositario Mocoa 1;1,1457201;-76,6467066
Depositario Montería;8,7575736;-75,8850829
Depositario Oficina Mosquera III;4,7046849;-74,2294423
Depositario Oficina Usme;4,5224857;-74,1179832
Depositario Paloquemao;4,6544768;-74,1149621
Depositario Parque Centenario;10,4234351;-75,5474829
Depositario Parque Nacional;4,627125;-74,0672676
Depositario Parque Santander;7,1191793;-73,1231094
Depositario Pereira;4,8153857;-75,6949717
Depositario Plaza De Las Américas;4,6233544;-74,1369711
Depositario Puente Aranda;4,6344793;-74,1141126
Depositario Real De Minas 2;7,1041601;-73,1224012
Depositario Rio Del Oro;2,933346;-75,2921425
Depositario Salitre Plaza;4,653205;-74,109296
Depositario San Gil;6,5543537;-73,133655
Depositario San Silvestre;7,06734;-73,85813
Depositario Santa Marta;11,2403547;-74,2110227
Depositario Sincelejo P/Pal 2;9,2979171;-75,3852369
Depositario Teleport;4,6914483;-74,034815
Depositario Unicentro Cali;3,4116385;-76,5477043
Depositario Unicentro Medellín;6,2412323;-75,5876453
Depositario Villanueva 1;10,6068906;-72,9779871
Depositario Yopal 2;5,3484396;-72,4006536
Depositario Zipaquirá;5,0223949;-74,0057623
Depositarios Ccial Grand Bulevard;11,0137606;-74,8366679
Dhl;4,6785164;-74,1148623
Dir. De Esc. De Policia-Dinae;4,5859962;-74,1313361
Distrialgusto Girón;7,0695255;-73,1056876
Dos Quebradas;4,829797;-75,6788096
Dosquebradas G;4,832666;-75,6736371
Drummond;9,970362;-73,890531
Drummond II;9,970362;-73,890531
Duitama;5,828284;-73,033875
Duitama II;5,828284;-73,033875
Edificio Administrativo Calle 71;4,6662373;-74,0732756
Edificio Juan David Turbo;8,0972756;-76,7290966
Eds Chevron Acacias;3,991663;-73,766129
Eka Corporación;3,4717143;-76,5077902
El Banco 1;10,9920062;-74,8070671
El Banco 2;10,9920062;-74,8070671
El Can;4,626227;-74,0566026
El Éxito;6,2549803;-75,57977
El Laguito;10,3941367;-75,5607327
El Nogal;4,6612657;-74,0599469
El Poblado;6,203409;-75,5740807
El Polo;4,7198821;-74,1094573
El Porvenir;4,6334041;-74,1883818
El Prado 1;10,999465;-74,8045045
El Prado 2;10,999465;-74,8045045
El Rosal;4,8193301;-74,3599515
El Tesoro;6,1975427;-75,5588351
El Vivero;11,0099443;-74,7998638
Emtelco;6,2184642;-75,5830661
Emtell;2,4517032;-76,599103
Enertolima I;4,4301407;-75,2161426
Enertolima II;4,4301407;-75,2161426
Envigado;6,1706617;-75,5867522
Envigado 2;6,1706617;-75,5867522
Epm;6,2548413;-75,5722977
Esc Artilleria;4,508056;-74,1140039
Esc Logística;4,5713985;-74,0718734
Esc. Gonzalo Jiménez De Quesada;4,5065939;-74,2689972
Escuela Cadetes 1;4,6861869;-74,0546145
Escuela Cadetes 2;4,6861615;-74,0568045
Escuela De Carabineros De Manizales;5,0688036;-75,4916835
Escuela De Policía Gabriel González;4,144269;-74,878979
Espinal;4,149819;-74,884341
Espinal 1;4,149819;-74,884341
Estación De Gasolina Egas Zipaquirá;5,0233244;-74,002138
Estación Rumbos;4,8523459;-74,0291566
Éxito Armenia Cristal (2060);4,5370992;-75,6674325
Éxito Calle 80;4,6835133;-74,0802839
Éxito Caucasia;7,9933559;-75,1995239
Éxito Ciudad Tunal (2302);4,5779008;-74,1302354
Éxito Colina (2088);4,7347249;-74,0687085
Éxito De Occidente;4,7209487;-74,1225423
Éxito Fusagasugá (2096);4,3329343;-74,3700277
Éxito Itagüí (2040);6,1777352;-75,6056987
Éxito La Flora (2054);3,487232;-76,516692
Éxito Magangue;9,3075674;-75,4130087
Éxito Murillo;10,9696249;-74,7901346
Éxito Nuevo Kennedy;4,6235335;-74,1538973
Éxito Pasto (2058);1,2160212;-77,2793871
Éxito Pereira Cuba (2174);4,804235;-75,737931
Éxito San Fernando;3,4259871;-76,546028
Éxito San Mateo Cúcuta (2353);7,8829846;-72,4881769
Éxito Simón Bolívar;3,4275466;-76,4997185
Éxito Suba;4,7114619;-74,1343611
Éxito Parque Arboleda (2062);4,8087174;-75,690601
Éxito Villa Mayor (2083);4,592627;-74,124756
Express Dann;7,1178859;-73,1125597
Express Dann II;7,1178859;-73,1125597
Express Unicentro;6,2412323;-75,5876453
Extensión Oficina Ruitoque;7,0235157;-73,0826526
Facatativá 2;4,811176;-74,356476
Facatativá 3;4,811176;-74,356476
Fedegan;6,2684934;-75,5736806
Femsa Barranquilla;10,9567995;-74,7858688
Femsa Bogotá Sur;4,5993044;-74,167637
Femsa Bucaramanga;7,1324662;-73,1541962
Femsa Cali;3,3711258;-76,5259015
Femsa Medellín;6,2683078;-75,5762407
Femsa-Bogotá Norte I;4,6720626;-74,1365073
Femsa-Bogotá Norte II;4,6720626;-74,1365073
Femsa-Tocancipa;4,9547754;-73,934886
Fiscalía Bogotá;4,6154801;-74,0872244
Fiscalía Bucaramanga;7,1250002;-73,1253508
Fiscalía Edificio San Francisco Cali;3,4503024;-76,5332004
Fiscalía Edificio Santa Mónica;3,4557587;-76,5187876
Fiscalía Edificio Conquistadores Cali;3,4234924;-76,5413769
Fiscalía Ibagué;4,4446387;-75,2412891
Fiscalía Seccional Bogotá;4,6691858;-74,0586044
Fiscalía Seccional Medellín;6,2684934;-75,5736806
Fiscalía Pereira;4,81688;-75,71346
Florencia 2;1,6145788;-75,6131157
Florencia 3;1,6145788;-75,6131157
Florencia Corevisa I;1,6137395;-75,6128246
Florencia Corevisa II;1,6137395;-75,6128246
Fna Fondo Nacional Del Ahorro;4,632411;-74,116538
Fondo Rotatorio;4,631605;-74,1034282
Fonseca 1;10,8883628;-72,8529913
Fonseca 2;10,8883628;-72,8529913
Fonseca III;10,8883628;-72,8529913
Fonseca IV;10,8883628;-72,8529913
Fontibón 1;4,6731237;-74,1453014
Fontibón 2;4,6731237;-74,1453014
Fontibón 4;4,6731237;-74,1453014
Frigorífico Ble;4,65804;-74,1377853
Frigorífico Guadalupe;4,5959306;-74,1528456
Fuerza Aérea La Dorada;5,4655294;-74,6566693
Fuerza Aérea-Catam;4,70348;-74,14963
Fundación 1;10,5218664;-74,1853633
Fundación 2;10,517179;-74,1819979
Fundación III;10,517179;-74,1819979
Fusagasugá 1;4,343399;-74,3620747
Fusagasugá 2;4,343399;-74,3620747
