"CIUDAD";"NOMBRE OFICINA";"DIRECCIÓN";"lat";"lon";"Num_Eventos"
"TOCANCIPÁ";"TOCANCIPÁ";"CARRERA 7 No. 7 - 10 / 14";4,9637174;-73,9159927;0
"TULÚA";"TULUA";"CARRERA 27 No. 26-28";4,0846951;-76,1961828;0
"TULÚA";"TULUA CENTRO";"CARRERA 26 No. 27-49";4,0838459;-76,1971843;0
"TUNJA";"EL BOSQUE";"CARRERA 11 No. 11 - 50/54";5,5248419;-73,3659396;0
"TUNJA";"TUNJA";"CARRERA 11 No. 18-41";5,5317645;-73,3634153;0
"TUNJA";"TUNJA AVENIDA NORTE";"AVENIDA NORTE No. 47a-111";5,574255;-73,3404795;0
"TUQUERRES";"TUQUERRES";"CARRERA 14 No. 15-14 Local 2";1,085739;-77,618641;0
"UBATÉ";"UBATE";"CALLE 8 No. 8-16";5,3087146;-73,8149559;0
"URRAO";"URRAO";"CARRERA 31 No. 29-21";6,3165532;-76,134867;0
"VALLEDUPAR";"AGENCIA GOBERNACIÓN DEL CESAR";"CALLE 16 No. 12 - 120 GOBERNACIÓN DEL CESAR";10,4732071;-73,2509807;0
"VALLEDUPAR";"CALLE GRANDE";"CALLE 16 No. 11-04";10,4742872;-73,2484819;0
"VALLEDUPAR";"UNICENTRO VALLEDUPAR";"DIAGONAL 6A No. 9-41 locales 323-324 Centro Comercial Unicentro";10,4879319;-73,2617229;0
"VILLANUEVA";"VILLANUEVA";"CARRERA 8 No. 10-40";3,4488533;-76,5326638;0
"VILLAVICENCIO";"CENTRO COMERCIAL UNICO VILLAVICENCIO";"CARRERA 22 No. 8C - 67 Local BC4";4,1287734;-73,6240176;0
"VILLAVICENCIO";"LA ESPERANZA";"AVENIDA 40 No. 35A-40";4,1404228;-73,6348683;0
"VILLAVICENCIO";"CENTRO COMERCIAL PRIMAVERA";"CALLE 15 No. 40-01 L 248-249";4,1320381;-73,6313507;0
"YOPAL";"EXT. DE CAJA GOBERNACIÓN DE CASANARE";"CARRERA 19 No. 6-100 EDIFICIO DE LA GOBERNACIÓN DE CASANARE";5,3487158;-72,4009209;0
"YOPAL";"YOPAL";"CALLE 8 Nº 21-32";5,348903;-72,400523;0
"YOPAL";"YOPAL UNICENTRO";"CARRERA 29 No. 13-20";5,3482945;-72,3915885;0
"ZIPAQUIRÁ";"ZIPAQUIRA CENTRO";"CARRERA 8 No. 2-80";5,022124;-74,0043332;0
